"candidate_id","candidate_label","selection_scope","top_fraction","extra_qc","paper_qc_preserved","definition_changes","n_cells_total","min_cells_per_sample","genes_ranked_n","tested_KEGG_sets_n","direction","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","pathway_id","pathway_name","gene_set_size_total"
"A01","Global CNV top 25%; paper QC","global",0.25,"none",TRUE,0,3207,140,10950,353,"relapse_up","hsa05012 Parkinson disease",2.48610272452123e-07,8.75108159031472e-05,0.674962860011025,0.410198503099657,1.94268562928085,202,"COX5A;ADRM1;NDUFC2;ATP5F1B;TUBA1C;MAPK9;UQCRHL;SLC18A2;NDUFA6;NDUFAB1;NDUFA9;SLC39A4;NDUFA12;VDAC1;PSMB1;CALM1;CYC1;SLC39A3;BAX;SLC25A5;KEAP1;UQCRH;PSMC5;HTRA2;ATF4;COX6A1;GNAS;UBE2L6;COX7A2L;COX8A;PSMD8;COX6C;NDUFV2;PSMA7;ATP5PF;TUBA1B;COX4I1;SLC39A8;PSMD11;TXN2;SLC39A6;VDAC2;SLC39A13;PARK7;SLC25A6;NDUFB7;ATP5MC1;PSMD12;KIF5B;UBE2J2;PSMB3;MFN2;PSMC3;UBA52;PSMB7;NDUFB6;ATP5F1C;CALM3;UBC;NDUFB9;GNAI2;ATP5MC3;TUBA4A;ATP5F1A;NDUFS3;PPIF;ITPR3;EIF2S1;COX7B;TUBB4A;SEM1;SDHB;PSMD2;PSMD7;ATP5F1E;RPS27A;TUBB2A;UBE2L3;NDUFB2;PSMC4;NDUFS8;SOD1;SLC39A7;UQCR11;PSMA4;ATP5PB;DUSP1;NDUFA8;NDUFB11;TUBB4B;XBP1;NDUFA1;UBE2J1;COX7A2;CALM2;PRKACA;PSMC1;PSMA8;PSMB2","hsa05012","Parkinson disease",268
"A01","Global CNV top 25%; paper QC","global",0.25,"none",TRUE,0,3207,140,10950,353,"relapse_up","hsa00190 Oxidative phosphorylation",9.99841642376826e-06,0.000879860645291607,0.593325476396405,0.447727048861825,1.93662109750358,103,"COX5A;NDUFC2;ATP5F1B;UQCRHL;NDUFA6;NDUFAB1;NDUFA9;NDUFA12;PPA1;CYC1;UQCRH;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;PPA2;ATP5PF;COX4I1;ATP6V0D1;ATP6V0A4;NDUFB7;ATP5MC1;ATP6V0C;ATP6V1A;NDUFB6;ATP5F1C;ATP5MG;NDUFB9;ATP5MC3;ATP5F1A;ATP6V0E1;NDUFS3;COX7B;SDHB;COX17;ATP5F1E;NDUFB2;NDUFS8;UQCR11;ATP5PB;ATP6V1G1;NDUFA8;NDUFB11;COX15;LHPP;ATP5ME;NDUFA1;ATP6V0B;COX7A2","hsa00190","Oxidative phosphorylation",138
"A01","Global CNV top 25%; paper QC","global",0.25,"none",TRUE,0,3207,140,10950,353,"relapse_up","hsa05208 Chemical carcinogenesis - reactive oxygen species",6.67194302335388e-06,0.000879860645291607,0.610526878385931,0.401012936859565,1.83843281790672,155,"FOS;RELA;COX5A;NDUFC2;ATP5F1B;MAPK9;UQCRHL;NDUFA6;AKR1C1;NDUFAB1;NDUFA9;SOD2;NDUFA12;VDAC1;CYC1;SLC25A5;PIK3R3;KEAP1;UQCRH;PRKD2;GRB2;CYBA;NFKB1;AKT1;COX6A1;IKBKG;COX7A2L;COX8A;EPHX2;COX6C;NDUFV2;NRAS;ATP5PF;COX4I1;MAPK3;MAP2K1;VDAC2;SLC25A6;NDUFB7;ATP5MC1;NDUFB6;RAC1;ACP1;ATP5F1C;NDUFB9;ATP5MC3;ATP5F1A;PIK3CB;NCF1;NDUFS3;PPIF;MAPK1;COX7B;GSTO1;PTPN11;SDHB;ATP5F1E;NDUFB2;NDUFS8;SOD1;ARAF;UQCR11;ATP5PB;NDUFA8;NDUFB11","hsa05208","Chemical carcinogenesis - reactive oxygen species",227
"A01","Global CNV top 25%; paper QC","global",0.25,"none",TRUE,0,3207,140,10950,353,"relapse_up","hsa03010 Ribosome",7.87680315138408e-06,0.000879860645291607,0.593325476396405,0.392144028605104,1.82378012741652,169,"MRPL15;MRPS2;RPL39L;MRPS18A;MRPL37;MRPS7;MRPL1;MRPS6;RPL26L1;MRPL33;MRPL36;AURKAIP1;MRPL24;RPL30;RPS16;RPL8;RPLP1;RPL23A;MRPL20;MRPL54;MRPL27;RPS6;MRPL11;RPLP2;UBA52;MRPL58;MRPL47;RPS13;RPL4;MRPL49;MRPL3;RPL7;RPS7;RPS17;MRPS30;RPL21;MRPL14;RPL37;RPL18A;RPLP0;MRPL51;RPS27A;RPS28;RPS27L;RPL38;MRPS23;RPS20;MRPS35;RPS15A;MRPL21;RPL19;RPS25;RPL27A;RPS21;RPS27;RPS24;RPL14;MRPL40;RPL36;RPS4X;RPL23;RPS3A;RPS29;RPL5;RPL3;RPS3;RPS19;RPL13A;RPL22;RPS2;RPL35;RSL24D1;RPL27;RPL39;RPL11;MRPL41;MRPS28;RPL36A;RPS14;RPL35A;MRPL12;RPL9;RPL24;RPS12;RPL37A;RPL18;RPL15;MRPL2;MRPL17;RPL10A;MRPL39;RPS23;RPL17;RPL32;RPL12;RPS4Y1;RPS9;RPL34;MRPS17;MRPS12;FAU;RPL6;RPL13;MRPL42;RPS5;RPL7A;RPS11;RPL31","hsa03010","Ribosome",213
"A01","Global CNV top 25%; paper QC","global",0.25,"none",TRUE,0,3207,140,10950,353,"relapse_up","hsa03008 Ribosome biogenesis in eukaryotes",1.60589692803339e-05,0.0011305514373355,0.575610261071129,0.505571111867702,2.01915440408554,68,"DKC1;UTP4;EIF6;NOP56;RRP7A;NXT1;WDR36;NOP10;GTPBP4;GNL3L;RIOK1;POP1;WDR43;POP7;IMP3;IMP4;MDN1;UTP18;GNL2;NHP2;NOP58;RAN;RCL1;HEATR1;CSNK2A2;LSG1;SNU13;POP4;GNL3;GAR1;AK6;CSNK2A1;FBL","hsa03008","Ribosome biogenesis in eukaryotes",126
"A01","Global CNV top 25%; paper QC","global",0.25,"none",TRUE,0,3207,140,10950,353,"relapse_up","hsa05014 Amyotrophic lateral sclerosis",2.22346699933583e-05,0.00130443397294368,0.575610261071129,0.336787767858127,1.66294523421454,270,"ALYREF;TOMM40;COX5A;UBQLN4;ACTB;ADRM1;NDUFC2;ATP5F1B;TUBA1C;UQCRHL;GPX7;WDR41;ACTG1;NDUFA6;BID;CASP1;NDUFAB1;OPTN;NDUFA9;MAP2K3;NDUFA12;NXT1;VDAC1;PSMB1;CYC1;PPP3R1;BAX;SRSF7;UQCRH;PSMC5;DERL1;SRSF3;RAB8A;ATF4;HNRNPA1;COX6A1;SEH1L;VAPB;COX7A2L;COX8A;PSMD8;COX6C;NDUFV2;PSMA7;NUP58;ATP5PF;TUBA1B;COX4I1;BECN1;NUP155;PSMD11;NDUFB7;ATP5MC1;PSMD12;KIF5B;DCTN5;TNFRSF1B;PSMB3;PSMC3;HNRNPA3;PSMB7;NDUFB6;RAC1;ATP5F1C;NDUFB9;ATP5MC3;TUBA4A;ATP5F1A;NDUFS3;ANXA7;ITPR3;EIF2S1;HNRNPA2B1;COX7B;TUBB4A;SEM1;SDHB;PSMD2;POM121C;PSMD7;NDC1;ATP5F1E;TUBB2A;NDUFB2;PPP3CC;RAE1;PSMC4;NDUFS8;SOD1;ULK2;ANXA11;NCBP1;BCL2;UQCR11;PSMA4;ATP5PB;ACTR1B;NDUFA8;NDUFB11","hsa05014","Amyotrophic lateral sclerosis",368
"A01","Global CNV top 25%; paper QC","global",0.25,"none",TRUE,0,3207,140,10950,353,"relapse_up","hsa05020 Prion disease",2.93344727516897e-05,0.00147510491551354,0.575610261071129,0.365775552138614,1.72182912166046,192,"STIP1;COX5A;ADRM1;NDUFC2;ATP5F1B;TUBA1C;MAPK9;UQCRHL;NDUFA6;NDUFAB1;NDUFA9;NDUFA12;VDAC1;PSMB1;CYC1;PPP3R1;BAX;SLC25A5;PIK3R3;UQCRH;PSMC5;CCL5;CYBA;ATF4;COX6A1;COX7A2L;COX8A;PSMD8;CREB3L3;COX6C;NDUFV2;PSMA7;ATP5PF;TUBA1B;COX4I1;MAPK3;PRNP;EGR1;PSMD11;VDAC2;SLC25A6;NDUFB7;ATP5MC1;PSMD12;KIF5B;CSNK2A2;IL1B;PSMB3;PSMC3;PSMB7;NDUFB6;RAC1;ATP5F1C;NDUFB9;ATP5MC3;TUBA4A;ATP5F1A;PIK3CB;NCF1;NDUFS3;PPIF;NOTCH1;ITPR3;MAPK1;EIF2S1;COX7B;TUBB4A;SEM1;CSNK2A1;SDHB;PSMD2;PSMD7;ATP5F1E;TUBB2A;NDUFB2;PPP3CC;PSMC4;NDUFS8","hsa05020","Prion disease",275
"A01","Global CNV top 25%; paper QC","global",0.25,"none",TRUE,0,3207,140,10950,353,"relapse_up","hsa05171 Coronavirus disease",5.07969890224085e-05,0.00223506751698597,0.557332238758646,0.385960989687739,1.77128977373834,151,"FOS;RELA;STAT3;RPL39L;MAPK9;TRAF3;CASP1;PRKCA;PIK3R3;RPL26L1;NFKB1;IKBKG;RPL30;OAS3;MYD88;RPS16;RPL8;RPLP1;MAPK3;RPL23A;MAP3K7;RPS6;IL1B;RPLP2;UBA52;RPS13;PIK3CB;RPL4;RPL7;RPS7;MAPK1;RPS17;RPL21;RPL37;RPL18A;RPLP0;RPS27A;RPS28;RPS27L;RPL38;RPS20;RPS15A;MX1;STAT1;RPL19;RPS25;EIF2AK2;RPL27A;RPS21;RPS27;RPS24;RPL14;RPL36;RPS4X;NFKBIB;RPL23;RPS3A;JAK1;RPS29;RPL5;RPL3;IRF9;PIK3R2;RPS3;RPS19;RPL13A;RPL22;RPS2;IRAK1;RPL35;RSL24D1;RPL27;RPL39;RPL11;RPL36A;RPS14;RPL35A;RPL9;RPL24;RPS12;RPL37A;RPL18;PIK3R1;PIK3CD;RPL15;RPL10A;RPS23;PRKCB;RPL17;RPL32;RPL12;CGAS;RPS4Y1","hsa05171","Coronavirus disease",238
"A01","Global CNV top 25%; paper QC","global",0.25,"none",TRUE,0,3207,140,10950,353,"relapse_up","hsa04517 IgSF CAM signaling",5.76198038710981e-05,0.00225357455140295,0.557332238758646,0.379016872952366,1.73866378383326,152,"MBP;CD244;CRTAM;LY9;DOK2;ICAM3;ACTB;LCP2;TUBA1C;MAPK9;SPTBN2;PTPN6;ACTG1;ITGB1;PRKCA;CD226;CD48;MYH10;PIK3R3;MYL12A;EPB41L2;RAP1A;PXN;GRB2;ARPC2;AKT1;DYNLL2;ARF6;FOXO1;ACTR3C;ACTR3B;ACTN4;ACTR3;ICAM2;ITGB2;SLAMF6;TUBA1B;MSN;MAPK3;MAP2K1;CD96;RAP1B;ARPC5L;F11R;RAC1;NECTIN3;TUBA4A;PIK3CB;ARPC1A;MAPK1;CASK;SSX2IP;PARD6B;TUBB4A;PTPN11;MYL12B;EZR;JAML;SPTBN1;ACTN1;TUBB2A;ROBO3;PTPRD;PAK2","hsa04517","IgSF CAM signaling",299
"A01","Global CNV top 25%; paper QC","global",0.25,"none",TRUE,0,3207,140,10950,353,"relapse_up","hsa04658 Th1 and Th2 cell differentiation",0.000247631806683957,0.0076153351560429,0.49849310876659,0.459302641099615,1.83436697393242,68,"RUNX3;FOS;STAT5A;IL4R;RELA;CD247;IFNGR2;GATA3;NFATC3;MAF;MAPK9;IL4;MAML3;PPP3R1;JAK3;NFATC2;IL2RA;NFKB1;IKBKG","hsa04658","Th1 and Th2 cell differentiation",93
